,precision,recall,f1-score,support
ACCOUNTANT,0.90625,0.6304347826086957,0.7435897435897436,46.0
ADVOCATE,0.875,0.7777777777777778,0.8235294117647058,54.0
AGRICULTURE,0.5555555555555556,0.4166666666666667,0.47619047619047616,12.0
APPAREL,0.32,0.3333333333333333,0.32653061224489793,24.0
ARTS,0.34,0.6296296296296297,0.44155844155844154,27.0
AUTOMOBILE,0.25,0.14285714285714285,0.18181818181818182,7.0
AVIATION,0.825,0.9166666666666666,0.868421052631579,36.0
BANKING,0.6181818181818182,0.6938775510204082,0.6538461538461539,49.0
BPO,0.5,0.2,0.2857142857142857,5.0
BUSINESS-DEVELOPMENT,0.5609756097560976,0.5348837209302325,0.5476190476190477,43.0
CHEF,0.8,0.8333333333333334,0.8163265306122449,48.0
CONSTRUCTION,0.7555555555555555,0.8947368421052632,0.8192771084337349,38.0
CONSULTANT,0.631578947368421,0.46153846153846156,0.5333333333333333,52.0
DESIGNER,0.8301886792452831,0.8461538461538461,0.8380952380952381,52.0
DIGITAL-MEDIA,0.75,0.48,0.5853658536585366,25.0
ENGINEERING,0.7333333333333333,0.825,0.7764705882352941,40.0
FINANCE,0.5423728813559322,0.7441860465116279,0.6274509803921569,43.0
FITNESS,0.8421052631578947,0.7272727272727273,0.7804878048780488,44.0
HEALTHCARE,0.62,0.7380952380952381,0.6739130434782609,42.0
HR,0.82,0.8541666666666666,0.8367346938775511,48.0
INFORMATION-TECHNOLOGY,0.6964285714285714,0.7090909090909091,0.7027027027027027,55.0
PUBLIC-RELATIONS,0.7708333333333334,0.7115384615384616,0.74,52.0
SALES,0.38636363636363635,0.37777777777777777,0.38202247191011235,45.0
TEACHER,0.8181818181818182,0.6136363636363636,0.7012987012987013,44.0
accuracy,0.6831364124597207,0.6831364124597207,0.6831364124597207,0.6831364124597207
macro avg,0.6561627084507188,0.6288605810504678,0.6317623524118096,931.0
weighted avg,0.6977242984757956,0.6831364124597207,0.68312468590039,931.0
